year,quarter_label,state,average_price_rm,property_type,source_file,quarter
2009,Q3,Kuala Lumpur,368944.34,All houses,all_houses_by_state.xlsx,3
2009,Q3,Kuala Lumpur,2077733.43,Detached house,detached_by_state.xlsx,3
2009,Q3,Kuala Lumpur,1294636.92,Semi-detached house,semi_detached_by_state.xlsx,3
2009,Q3,Kuala Lumpur,364145.69,Terraced house,terraced_by_state.xlsx,3
2009,Q3,Melaka,108599.71,All houses,all_houses_by_state.xlsx,3
2009,Q3,Melaka,201676.87,Detached house,detached_by_state.xlsx,3
2009,Q3,Melaka,257529.65,Semi-detached house,semi_detached_by_state.xlsx,3
2009,Q3,Melaka,91309.16,Terraced house,terraced_by_state.xlsx,3
2009,Q3,Negeri Sembilan,130599.48,All houses,all_houses_by_state.xlsx,3
2009,Q3,Negeri Sembilan,255915.62,Detached house,detached_by_state.xlsx,3
2009,Q3,Negeri Sembilan,198782.18,Semi-detached house,semi_detached_by_state.xlsx,3
2009,Q3,Negeri Sembilan,106507.81,Terraced house,terraced_by_state.xlsx,3
2009,Q3,Pahang,136065.89,All houses,all_houses_by_state.xlsx,3
2009,Q3,Pahang,137523.71,Detached house,detached_by_state.xlsx,3
2009,Q3,Pahang,202170.36920168067,Semi-detached house,semi_detached_by_state.xlsx,3
2009,Q3,Pahang,124452.98,Terraced house,terraced_by_state.xlsx,3
2009,Q3,Penang,219988.42,All houses,all_houses_by_state.xlsx,3
2009,Q3,Penang,405932.85,Detached house,detached_by_state.xlsx,3
2009,Q3,Penang,330720.82,Semi-detached house,semi_detached_by_state.xlsx,3
2009,Q3,Penang,263807.04,Terraced house,terraced_by_state.xlsx,3
2009,Q3,Perak,108088.46,All houses,all_houses_by_state.xlsx,3
2009,Q3,Perak,100236.76,Detached house,detached_by_state.xlsx,3
2009,Q3,Perak,191096.53,Semi-detached house,semi_detached_by_state.xlsx,3
2009,Q3,Perak,98996.38,Terraced house,terraced_by_state.xlsx,3
2009,Q3,Perlis,107339.69,All houses,all_houses_by_state.xlsx,3
2009,Q3,Perlis,201156.1,Semi-detached house,semi_detached_by_state.xlsx,3
2009,Q3,Perlis,86901.11,Terraced house,terraced_by_state.xlsx,3
2009,Q3,Sabah,232904.04,All houses,all_houses_by_state.xlsx,3
2009,Q3,Sabah,404547.6521219711,Detached house,detached_by_state.xlsx,3
2009,Q3,Sabah,374812.47,Semi-detached house,semi_detached_by_state.xlsx,3
2009,Q3,Sabah,229332.98,Terraced house,terraced_by_state.xlsx,3
2009,Q3,Sarawak,234335.23,All houses,all_houses_by_state.xlsx,3
2009,Q3,Sarawak,278035.32,Detached house,detached_by_state.xlsx,3
2009,Q3,Sarawak,291279.0,Semi-detached house,semi_detached_by_state.xlsx,3
2009,Q3,Sarawak,184625.69,Terraced house,terraced_by_state.xlsx,3
2009,Q3,Selangor,228034.34,All houses,all_houses_by_state.xlsx,3
2009,Q3,Selangor,460712.62,Detached house,detached_by_state.xlsx,3
2009,Q3,Selangor,595823.78,Semi-detached house,semi_detached_by_state.xlsx,3
2009,Q3,Selangor,226058.92,Terraced house,terraced_by_state.xlsx,3
2009,Q3,Terengganu,153348.46567594438,All houses,all_houses_by_state.xlsx,3
2009,Q3,Terengganu,185103.37,Detached house,detached_by_state.xlsx,3
2009,Q3,Terengganu,184424.31,Semi-detached house,semi_detached_by_state.xlsx,3
2009,Q3,Terengganu,104920.96,Terraced house,terraced_by_state.xlsx,3
2009,Q4,Johor,154018.42,All houses,all_houses_by_state.xlsx,4
2009,Q4,Johor,208058.83,Detached house,detached_by_state.xlsx,4
